SMILES,MW
C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,262.308
O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,293.28200000000004
O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,299.31100000000004
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,293.326
O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,293.28200000000004
CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,265.656
c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,274.412
c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,274.4119999999999
CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,288.4390000000001
CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,288.4390000000001
CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,259.265
CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,231.211
CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1,274.4120000000001
CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,274.4120000000001
O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,244.20199999999997
O=c1oc2c(O)c(O)ccc2c2ccccc12,228.20299999999997
O=c1oc2ccccc2c2cc(O)c(O)cc12,228.20299999999997
O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,260.20099999999996
O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,288.3950000000001
c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,260.38499999999993
c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1,260.38499999999993
O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,246.19299999999996
O=c1oc2c(Cl)c(Cl)ccc2c2cc(O)c(O)cc12,297.093
Cc1cc(O)c(O)c2oc(=O)c3ccc(F)cc3c12,260.21999999999997
ONC1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21,261.233
O=C1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21,244.20199999999997
O=c1oc2c(F)c(F)ccc2c2cc(O)c(O)cc12,264.18300000000005
O=c1oc2cc(O)c(O)cc2c2cc(F)ccc12,246.19299999999996
O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,260.20099999999996
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.23899999999998
Cc1cc(O)c(O)c2oc(=O)c3cc(O)c(O)cc3c12,274.228
O=C(C1CCCCN1)N1CCN(Cc2ccncc2)CC1,288.3950000000001
O=C(C1CCCCN1)N1CCN(Cc2ccccn2)CC1,288.3950000000001
O=C([C@@H]1CCCN1)N1CCN(Cc2cccnc2)CC1,274.3680000000001
O=C([C@@H]1CCCN1)N1CCN(Cc2ccccn2)CC1,274.3680000000001
N[C@@H](CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O,267.241
Cl.N[C@@H](CNC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O,304.69000000000005
COC(=O)[C@@H](N)COC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl,319.7010000000001
COC(=O)[C@@H](N)CCC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl,317.729
COC(=O)[C@@H](N)CNC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl,318.71700000000004
COc1ccc(-c2c(-c3ccccn3)nc3n2CCC3)cc1,291.35400000000004
CCc1cc2c(Sc3nnc(N)s3)ncnc2s1,295.418
Fc1ccc(-c2c(-c3ccccn3)nc3n2CCS3)cc1,297.358
Fc1ccc(-c2c(-c3ccccn3)nc3n2CCC3)cc1,279.318
Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1,297.358
Fc1ccc(-c2c(-c3cccnc3)nc3n2CCC3)cc1,279.318
CCc1cc2c(Sc3nnc(C)s3)ncnc2s1,294.43
CCc1cc2c(Nc3nnc(C)s3)ncnc2s1,277.378
COc1ccc2sc(C(N)=O)c(OC(C)C)c2c1,265.33399999999995
Cc1ccc(Sc2cncc3sc(CO)cc23)cc1,287.409
NC(=O)c1cc2c(Sc3ccccc3)cncc2s1,286.38100000000003
NC(=O)c1cc2c(Cl)cncc2s1,212.661
CC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,299.42
Cc1ccc(Sc2cncc3sc(C=O)cc23)cc1,285.39300000000003
CCc1cc2c(Sc3ccc(C)cc3)cncc2s1,285.437
NC(=O)c1cc2c(Sc3ccccn3)cncc2s1,287.369
COc1ccc2c(c1)[nH]c1c(C)nccc12,212.25199999999998
Brc1cccc2c3c([nH]c12)CNCC3,251.12699999999995
Brc1cccc2c3c([nH]c12)C=NCC3,249.11099999999996
Cc1ccc(Sc2cncc3sccc23)cc1,257.383
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(F)c1,288.36199999999997
COc1ccc2[nH]c3c(c2c1)CCN=C3,200.24099999999999
COc1cccc2[nH]c3c(c12)CCN=C3,200.24099999999996
COc1cccc2[nH]c3c(c12)CCNC3,202.25699999999995
NC(=O)Sc1cncc2sc(C(N)=O)cc12,253.30799999999996
COc1ccc2c3c([nH]c2c1)CNCC3,202.25699999999998
COc1cccc2c3c([nH]c12)CNCC3,202.25699999999995
