SMILES,label
COC1=CC=CC(C2(CCCN(C)C)C(=O)NC(=O)CC2(C)C)=C1,1
O=C1N(C2CCC(=O)NC2=O)C(=O)C2=C1C=CC=C2OCC(N1C[C@@H](CN)CCC1)=O,1
N=C(NCCO)c1ccc(-c2ccc(-c3ccc(/C(N)=N/CCO)cc3)o2)cc1,0
C1(NC(=O)CCC1(C1C=CC(NC(=O)C2C=CN=CC=2)=CC=1)CC)=O,1
N1(C(=O)C(=CC2=CC=C(OC(C)C)C=C2)C(=O)NC1=O)C1=CC=C(F)C=C1,1
COc1ccc(-c2c(C(=O)O)n(-c3ccc4c(c3)OCO4)c3ccc(OC)cc23)cc1,0
CC(C)N(C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CC[C@H](C(C)C)CC1)C(C)C,0
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0
O=C1C(Cl)=C(Nc2ccc(CCO)cc2)C(=O)c2cnccc21,0
O=C(NCCCNCCCCNCCCNC(=O)C(=O)c1c[nH]c2cc(Br)c(Br)cc12)C(=O)c1c[nH]c2cc(Br)c(Br)cc12,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(NCC(O)COc3cccc4cnccc34)cc1)O2,0
CCCN1CCCC(c2ccc(O)c(O)c2)C1,0
C#CC1=C(F)C2N(C(=O)N(C)C=2C=C1)C1C(=O)NC(=O)CC1,1
CCCc1nc(-c2cccnc2)cn2c(CC(=O)N[C@@H](CC3CCCCC3)C(O)C3CCCCC3)nnc12,0
CC(C)CN1C2=NCCN2C(=O)c2[nH]cnc21,0
C1=CC=C(C(C2=CC=CC=C2)N2CCN(C(=O)C3=CN(CC4(CC4)CNC4=C(F)C=C5C(=O)N(C(=O)C5=C4)C4C(=O)NC(=O)CC4)N=C3)CC2)C=C1,1
C1=CC(S(=O)(=O)N)=CC(C(=O)NCC2CCN(CCCOC3=CC4C(=O)N(C(=O)C=4C=C3)C3C(=O)NC(=O)CC3)CC2)=C1,1
C1(=CC=C2C(C(=O)N(C3CCC(=O)NC3=O)C2=O)=C1)CCC1CCNCC1,1
CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,0
N1(C(=O)C2=C(C3=C(CCNC(C4=C(OC)C=CC=C4)=O)C=CC=C3)C=CC=C2C1=O)C1C(=O)NC(=O)CC1,1
CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,0
N1(C2C(=O)NC(=O)CC2)C(=O)C2=CC=CC(NC(C=CC3=C(Cl)C=C(Cl)C=C3)=O)=C2C1,1
C1=CC(C(F)(F)F)=CC(C2=NC(C3CCN(C(=O)C4=CC5C(=O)N(C(=O)C=5C=C4)C4C(=O)NC(=O)CC4)CC3)=CN=C2)=C1,1
N1(C(=O)NC(=O)C(=C(NCC2=CC(F)=CC=C2)C)C1=O)C1=CC=C(OC)C=C1,1
CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,0
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@H]2CC[C@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)cc3)N2c2ccc(F)cc2)cc1)[C@@H](C)OC,0
N1(C(=O)C(=CC2N(C3C=C(N(=O)=O)C=CC=3)C=CC=2)C(=O)NC1=O)C1=CC(C)=CC(C)=C1,1
N1(C(=O)NC(=O)C(=CNCCCO)C1=O)C1C(C)=CC(C)=CC=1C,1
C1=CC(NCCCOC2=NC=C(C(=O)N3CCC(C4=NC=C(C(=O)NC5=CC=C(F)C=C5)C=C4)CC3)C=C2)=C2C(=O)N(C(=O)C2=C1)C1C(=O)NC(=O)CC1,1
C1(=CC(C(=O)NC2=C3CN(C(=O)C3=CC=C2)C2C(=O)NC(=O)CC2)=CC=C1OC)Cl,1
N1(C(=O)C(=CC2=CC(N(=O)=O)=C(OC)C=C2)C(=O)NC1=O)C1C=CC(C)=CC=1,1
CC1N(CCC(=O)N2CCN(C3=C(CNC4=C(F)C=C5C(=O)N(C(=O)C5=C4)C4C(=O)NC(=O)CC4)C=CC=C3)CC2)C2=C(C=CC=C2)C=1,1
COc1c(N2CCC(CN)CC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0
COc1ccc(Nc2cc(C(F)(F)F)nc(/N=C(\N)Nc3ccccc3)n2)cc1CN1CCN(C)CC1,0
Cn1cc(NC(=O)c2sccc2Cl)cc1C(=O)Nc1cc(C(=O)Nc2c[nH]c(C(=O)NCCN3CCOCC3)c2)n(C)c1,0
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC1CN(C(=O)[C@H](CC(C)C)N(C)C(=O)OCc2ccccc2)CC1=O,0
N1(C(=O)C2C(OCC(NC3=CC=CC=C3)=O)=CC=CC=2C1=O)C1C(=O)NC(=O)CC1,1
C([C@@H](NC(CCCCCCC(=O)N1CCN(C2C=C(NC3SC(C(NC4=C(C)C=CC=C4Cl)=O)=CN=3)N=C(C)N=2)CC1)=O)C(C)(C)C)(=O)N1[C@H](C(NCC2=CC=C(C3=C(C)N=CS3)C=C2)=O)C[C@@H](O)C1,1
C1=C(C)C=C(CC(N[C@H](C(=O)N2[C@H](C(NCC3=CC=C(C4SC=NC=4C)C=C3)=O)C[C@@H](O)C2)C(C)(C)C)=O)C=C1,1
CN1N=C(C(F)(F)F)C(C(=O)N2CC3C(CN(C3)C3=CC4C(=O)N(C(=O)C=4C=C3)C3C(=O)NC(=O)CC3)C2)=C1,1
COc1ccc(C2(O)OC(=O)C(c3cc(OC)ccc3OC)=C2Cc2ccccc2)cc1,0
O=S(=O)(CS(=O)(=O)C(F)(F)F)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
O=C1C2=CC(N3C[C@H](CO)CC3)=CC=C2C(=O)N1C1C(=O)NC(=O)CC1,1
N1(C(=O)C(=CC2=CC(OC)=C(OC)C=C2)C(=O)NC1=O)C1=CC(C(F)(F)F)=CC=C1,1
Nc1ncnc2c1ncn2C1CC(O)C(O)C(COP(=O)(O)O)O1,0
C1=CN(C2=CC(C(=O)N3CCN(CCCOC4=C5C(=O)N(C(=O)C5=CC=C4)C4C(=O)NC(=O)CC4)CCC3)=CC=C2)C=C1,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc4ccccc4c3)CS[C@H]12)c1csc(N)n1,0
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cnc3c(N)ncnc32)O1)Oc1ccc(I)cc1,0
N1(C(=O)C(=CC2=CC(OCC)=C(OCC(=O)O)C=C2)C(=O)NC1=O)C1C=C(Br)C=CC=1,1
CC1=C(N2C(=O)NC(=O)CC2)C=C(C(=O)NCC2CCN(C(=O)CCCC3C4=CC=CC=C4N(C)C=3)CC2)C=C1,1
CSCC[C@H](NC(=O)C1(NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)Cc2ccccc2C1)C(=O)O,0
N1(C2C(=O)NC(=O)CC2)C(=O)C2=CC=CC(NC(C3C(=O)NC(C4C=CC=CC=4)=NC=3)=O)=C2C1,1
