SMILES,True,Pred,Prob,Error
Cc1cc(Cc2cc(C)c(NC(=O)C(=O)C3C(=O)NC(=S)NC3=O)c(C(C)C)c2)cc(C(C)C)c1NC(=O)C(=O)C1C(=O)NC(=S)NC1=O,0.0,True,0.97256666,True
O=C(CCCCCCCCCCCC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1)NCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.0,True,0.9592372,True
CSCC[C@H](NC=O)C(=O)N1CCC[C@H]1C(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)CC1O,0.0,True,0.67039496,True
COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1OCC1(CN(C)C(=O)CCOCCC#Cc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,0.0,True,0.94803876,True
O=C(NCCC1CCNCC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,True,0.7144138,True
Cc1c(Cc2cccc(NC(=O)CCCCCCNC(=O)CCC(=O)Nc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)c2F)c(=O)oc2cc(Oc3ncccn3)ccc12,0.0,True,0.95941144,True
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCN2CCN(CCCC(=O)Nc3ccc(C(=O)Nc4ccccc4N)cc3)CC2)C(C)(C)C)cc1,0.0,True,0.93166685,True
C#CCN(CCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,0.0,True,0.91321135,True
C[C@@H](C(=O)Nc1ccc(OC2CN(C(=O)CCOCCOCCOc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,0.0,True,0.9675377,True
C[C@@H](C(=O)Nc1ccc(OCCOCCOCCOCCNC(=O)COc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,0.0,True,0.9664927,True
C[C@@H](c1c[nH]c2ccccc12)C(NC(=O)C1CCCN(C(=O)c2ccc3[nH]cnc3c2)C1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,0.0,True,0.7808054,True
O=C1CCC(N2C(=O)c3ccc(NCCCCCC(=O)N4CCC(n5cc(-c6cnc7cccc(-c8cc(F)c(CN9CCOCC9)c(F)c8)c7n6)cn5)CC4)cc3C2=O)C(=O)N1,0.0,True,0.95959073,True
CC(C)(C)c1cc(/C=C2\NC(=S)NC2=O)cc(C(C)(C)C)c1O,0.0,True,0.95908654,True
O=C1CCC(N2C(=O)c3cccc(OCC(=O)N4CCN(CC(=O)Nc5ccc(N(C(=O)CCl)C(C(=O)NCCc6ccccc6)c6cccs6)cc5)CC4)c3C2=O)C(=O)N1,0.0,True,0.9698294,True
CCN(C)S(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(N5CCN(C(=O)[C@H]6C[C@H](Nc7cccc8c7C(=O)N(C7CCC(=O)NC7=O)C8=O)C6)CC5)nc4)cc23)c1F,0.0,True,0.9672806,True
COC(=O)[C@H](CCCNC(=N)N[N+](=O)[O-])NC(=O)[C@@H]1CCCN1C(=O)c1cc(I)c(-c2nc3cc(C)c(C)cc3[nH]2)c(I)c1,0.0,True,0.64777195,True
O=C(COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCOc1ccc(N(CC(F)(F)F)S(=O)(=O)C2CC3OC2C(c2ccc(O)cc2)=C3c2ccc(O)cc2)cc1,0.0,True,0.9381838,True
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)Cn2cc(CCCOc3ccc(C(C)(C)c4ccc(OC[C@H](O)CCl)cc4)cc3)nn2)C(C)(C)C)cc1,0.0,True,0.9322963,True
CN(Cc1ccccc1)C(=O)[C@@H](Cc1ccccc1)NC(=O)C1C[C@@H](O)CN1C(=O)c1cc2ccccc2s1,0.0,True,0.9168055,True
CN1CCN(c2ccc(-c3ccc(C(=O)NCc4ccc(CNc5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4)cc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,0.0,True,0.96748435,True
O=C1CCC(=O)N1CCCCN1CCc2ccccc2C1,0.0,True,0.81895053,True
N#Cc1cc2c(cc1[N+](=O)[O-])=NC(=O)C(=O)N=2,0.0,True,0.95440066,True
CCOC(=O)C1(Cc2cscn2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1,0.0,True,0.82752496,True
