seed,MCC,AUC,F1,Accuracy,Precision,Recall,SPCC,PCC
0,0.929363,0.977184,0.964681,0.964681,0.964681,0.964681,0.826507,0.937052
1,0.908839,0.983059,0.954825,0.954294,0.943843,0.966066,0.836683,0.919747
2,0.939419,0.982617,0.969101,0.969529,0.982906,0.955679,0.835918,0.938260
3,0.939801,0.984832,0.969718,0.969875,0.974808,0.964681,0.839754,0.942985
4,0.932831,0.982250,0.966354,0.966413,0.968033,0.964681,0.835282,0.935179
5,0.934625,0.982274,0.966608,0.967105,0.981442,0.952216,0.835322,0.934262
6,0.924533,0.983210,0.962375,0.962258,0.959394,0.965374,0.836944,0.928822
7,0.938485,0.978351,0.968935,0.969183,0.976777,0.961219,0.828528,0.942534
8,0.939940,0.983044,0.969570,0.969875,0.979505,0.959834,0.836656,0.943632
9,0.946311,0.978714,0.972632,0.972992,0.985775,0.959834,0.829156,0.947931

mean,0.933415,0.981553,0.966480,0.966620,0.971717,0.961427,0.834075,0.937040
std,0.010062,0.002399,0.004762,0.005018,0.012268,0.004380,0.004154,0.007790
min,0.908839,0.977184,0.954825,0.954294,0.943843,0.952216,0.826507,0.919747
max,0.946311,0.984832,0.972632,0.972992,0.985775,0.966066,0.839754,0.947931
