smiles,molecular_weight,logp,hbd,hba,tpsa,rotatable_bonds,num_rings,num_aromatic_rings,num_heavy_atoms,fraction_sp3,qed
o1oooooooooooooooooooooooooooooooo1,527.83,5.12,0,33,433.62,0,1,1,33,0.000,0.394
O1OOOOOOOOOOOOOOOOOOOOOOOOOOOOO1,479.85,-2.05,0,30,276.90,0,1,0,30,0.000,0.337
O1OOOOOOOOOOOOOOOOOOOOOOOOO1,415.87,-1.78,0,26,239.98,0,1,0,26,0.000,0.396
O1OOOOOOOC2(OOOOOO1)OOOOOOOOOOOOO2,443.86,-2.05,0,27,249.21,0,2,0,28,1.000,0.364
o1oooooooooooooooooooooo1,367.88,3.57,0,23,302.22,0,1,1,23,0.000,0.590
o1oooooooooooooooooooooooooooooooooo1,559.82,5.43,0,35,459.90,0,1,1,35,0.000,0.356
o1oooooooooooooooooooooooooo1,431.86,4.19,0,27,354.78,0,1,1,27,0.000,0.518
O1OOOOC2(OOO1)OOOOOOOC21OOOOOO1,359.89,-1.85,0,21,193.83,0,3,0,23,1.000,0.436
O1OOOOC2(OOO1)OOOOOOOOC21OOOOOO1,375.89,-1.92,0,22,203.06,0,3,0,24,1.000,0.423
O1OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO1,543.83,-2.33,0,34,313.82,0,1,0,34,0.000,0.289
O1OOOOOOOOOOOOOOOOOOO1,319.90,-1.37,0,20,184.60,0,1,0,20,0.000,0.475
o1oooooooooooooooooooooooooooooo1,495.84,4.81,0,31,407.34,0,1,1,31,0.000,0.434
O1OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO1,511.84,-2.19,0,32,295.36,0,1,0,32,0.000,0.311
o1oooooooooooooooooooo1,335.89,3.26,0,21,275.94,0,1,1,21,0.000,0.613
O1OOOOOOOOOOOOOOOOOOOOOOOOOOO1,447.86,-1.92,0,28,258.44,0,1,0,28,0.000,0.366
O1OOOOOOOOOOOOOOOOOOOOO1,351.89,-1.50,0,22,203.06,0,1,0,22,0.000,0.454
o1oooooooooooooooooooooooooooo1,463.85,4.50,0,29,381.06,0,1,1,29,0.000,0.476
o1oooooooooooooooooooooooo1,399.87,3.88,0,25,328.50,0,1,1,25,0.000,0.557
